dataset,dialect_code,prob,dialectness,score,macro_score
Cohere,dza,0.12858178010069285,0.07340521727526335,0.028890740759194896,0.056722440171757246
Cohere,egy,0.2813931167160391,0.1619121201120016,0.1090668400711236,0.10954544998197652
Cohere,kwt,0.04543770778650239,0.07267890014154178,0.001002777444035242,0.036364066227668045
Cohere,mar,0.35618936422403263,0.08425012741042677,0.047569503779529704,0.06571389908657256
Cohere,pse,0.1211573121057367,0.06705154782640889,0.00962554525924296,0.03170702658925665
Cohere,sau,0.09324303934482311,0.018645342578758682,0.0015473169800635405,0.0056947039226403024
Cohere,sdn,0.11170343535430753,0.08694336859737475,0.013400689765627074,0.04889613093932968
Cohere,syr,0.1378154788187451,0.058675174328564395,0.013002800134122366,0.041775024972338905
Okapi,dza,0.36725726450560614,0.05675891561666504,0.022518410298426224,0.051743285934992736
Okapi,egy,0.41883285134099424,0.12965913044638,0.11352297747147606,0.11389229805702106
Okapi,kwt,0.16671667691436595,0.029932549499790184,0.006117247652738463,0.02298688387476072
Okapi,mar,0.6589906970225274,0.08205924431327731,0.07702743554646896,0.07946668146297635
Okapi,pse,0.4188809705560561,0.011131539745256304,0.0041103473037121495,0.006375433469472377
Okapi,sau,0.20197277543367817,0.00032502889051102104,0.0001351949503443208,0.0001949647079326073
Okapi,sdn,0.4138508775785158,0.021113108394201843,0.003037694505908023,0.0048075287634887645
Okapi,syr,0.3983371046965476,0.0810365909198299,0.04047427761781832,0.07392994497012824
ShareGPT,dza,0.2314566024611122,0.057221796181984245,0.01523262029060456,0.049251867677975306
ShareGPT,egy,0.4297245730448049,0.13151947612757794,0.10764123947381626,0.11237071332008577
ShareGPT,kwt,0.12472016199491918,0.02674857751233503,0.0006227687028158864,0.016314615691411415
ShareGPT,mar,0.5117533777590143,0.07241859489004128,0.05396098990683336,0.05853740840967395
ShareGPT,pse,0.26205711352376965,0.04415090893977322,0.009977055116113473,0.03821276861056775
ShareGPT,sau,0.24340150624979287,0.0007988484844099731,0.00010632096868249294,0.0006787568033359685
ShareGPT,sdn,0.24944310840568507,0.029889936804538594,0.016468223851260455,0.021583773622188374
ShareGPT,syr,0.27516060838708656,0.06291315149050206,0.02361891704806722,0.05181625802938446
