dataset,dialect_code,prob,dialectness,score,macro_score
BTEC,dza,0.25115777251543475,0.2930661068484187,0.13486043111685717,0.2589688290471376
BTEC,egy,0.5924081394897075,0.3853812092996668,0.333836261093504,0.33917587135160526
BTEC,mar,0.7503767051643808,0.35115113913081586,0.3185648419921372,0.32923198917938845
BTEC,pse,0.1308330366735754,0.3302940551005304,0.06282879730278779,0.2308958553758935
BTEC,sau,0.19749630898120812,0.12649179270782043,0.062108265148343896,0.11633303514247924
BTEC,sdn,0.20205188946478303,0.2894268353516236,0.09485855630657505,0.19627779509676663
BTEC,syr,0.1526931385352509,0.36076084056752733,0.08977580908539926,0.259855738582363
FLORES,egy,0.5031187847186811,0.33841101713478566,0.2674873105850634,0.2713234080791059
FLORES,mar,0.6497138395172078,0.23526930785854347,0.23022062361713921,0.23319514039169328
FLORES,pse,0.09909070575959049,0.15950594722875394,0.030925720976506227,0.11801535472162182
FLORES,sau,0.10563086075533647,0.034487925447756425,0.012262094805802173,0.029246318408651873
FLORES,syr,0.09003433286881773,0.18931821443140506,0.02506525663306311,0.12536375983008768
HABIBI,dza,0.19814185023437597,0.24911347210364437,0.07264271141532215,0.21596782891334348
HABIBI,egy,0.5888998339133105,0.4218308323272504,0.35024943311579887,0.35509156292177146
HABIBI,kwt,0.025646653345756932,0.21868923575500956,0.006046142982185057,0.14172789198959687
HABIBI,mar,0.5893879497924354,0.2729526917403564,0.19546628186033402,0.23374997117440935
HABIBI,pse,0.1091251601114308,0.32848191277261296,0.051827904469118,0.14943752092009246
HABIBI,sau,0.1798091541416943,0.09200020147545729,0.01911553969134173,0.08049843658962358
HABIBI,sdn,0.14365096616693923,0.2496447062072274,0.06823628949302976,0.16729842100380246
HABIBI,syr,0.14420025848725346,0.42476703932741655,0.08409239611158399,0.24926209041661349
