dataset,dialect_code,prob,dialectness,score,macro_score
Cohere,dza,0.01230942389946619,0.1632212201754252,0.01190635337875895,0.08735262601203769
Cohere,egy,0.0394918402586946,0.12398331168324056,0.024430939916386275,0.024635969472045948
Cohere,kwt,0.00023916962622980013,0.09852452485850363,8.457023569768419e-05,0.00461876136120463
Cohere,mar,0.06425746629188646,0.10856423082977834,0.04971020056704274,0.0590508374581321
Cohere,pse,0.042793809642046314,0.0920403494001037,0.027240223848012696,0.07817026506218139
Cohere,sau,0.0037839146833067213,0.07969801571935115,0.0009198414125955629,0.002383656406749832
Cohere,sdn,0.00121579068607646,0.08797930060613035,0.0006979237672141694,0.012810071689563253
Cohere,syr,0.08325467661794539,0.11067566230441585,0.060036883621394456,0.08948253907347237
Okapi,dza,0.07604367569321767,0.5607194020785391,0.04814823367942966,0.14210215701736376
Okapi,egy,0.11983472996304044,0.6596817973256112,0.08979134645015213,0.09055932239785806
Okapi,kwt,0.00385070465359604,0.576987808085978,0.001846088074239322,0.010475293625062493
Okapi,mar,0.6752373214511317,0.5938319626823068,0.39845850258535065,0.4084196890116458
Okapi,pse,0.4141870991594624,0.5955604700744153,0.27120186008750796,0.5633099422910116
Okapi,sau,0.028547307486805947,0.48898410545662047,0.006255129129069733,0.012043731071255542
Okapi,sdn,0.053162547965621344,0.5979836763069034,0.026583490044292675,0.0442685133391279
Okapi,syr,0.5163877234765095,0.6694874377548694,0.34918579356034646,0.645527776354446
ShareGPT,dza,0.07541982417897089,0.4860113408108009,0.03169982664346144,0.23951260664619922
ShareGPT,egy,0.22637742840801367,0.5374883431568742,0.11843124681274907,0.12963330575481208
ShareGPT,kwt,0.01590750339644728,0.48018999621272085,0.004845000924081352,0.044966505484385494
ShareGPT,mar,0.672509722703835,0.47426318941637874,0.3256545902049915,0.3281463826727296
ShareGPT,pse,0.3087893352319952,0.510883585526608,0.1573342472082796,0.47418143868102247
ShareGPT,sau,0.022314801455795532,0.3912037582835183,0.004017508298362762,0.017459349355844464
ShareGPT,sdn,0.07410368324723095,0.4968917864561081,0.03633041630888046,0.05932019072763509
ShareGPT,syr,0.5203461872626213,0.524932304546237,0.292000767633118,0.49577562934900926
