row_type,dialect_code,dataset,metric,delta,num_rows
bar,dza,BTEC,score,-0.023758930239004508,1
bar,dza,HABIBI,score,0.008821785556212103,1
dialect_average,dza,__average__,score,-0.007468572341396203,2
bar,egy,BTEC,score,-0.15294244559589742,1
bar,egy,FLORES,score,-0.15350693449645697,1
bar,egy,HABIBI,score,-0.20851816530930103,1
dialect_average,egy,__average__,score,-0.17165584846721849,3
bar,kwt,HABIBI,score,-0.0046119505441529485,1
dialect_average,kwt,__average__,score,-0.0046119505441529485,1
bar,mar,BTEC,score,0.038840167864231556,1
bar,mar,FLORES,score,0.1068661063774077,1
bar,mar,HABIBI,score,0.061822483586008836,1
dialect_average,mar,__average__,score,0.06917625260921603,3
bar,pse,BTEC,score,0.19725661977408354,1
bar,pse,FLORES,score,0.16218434207393947,1
bar,pse,HABIBI,score,0.24761981856145135,1
dialect_average,pse,__average__,score,0.20235359346982476,3
bar,sau,BTEC,score,-0.011348870131823542,1
bar,sau,FLORES,score,0.0022774567745778933,1
bar,sau,HABIBI,score,-0.024781918181728722,1
dialect_average,sau,__average__,score,-0.011284443846324791,3
bar,sdn,BTEC,score,-0.023034586724645048,1
bar,sdn,HABIBI,score,-0.03536967141110555,1
dialect_average,sdn,__average__,score,-0.0292021290678753,2
bar,syr,BTEC,score,0.13356306208603463,1
bar,syr,FLORES,score,0.13103210269262705,1
bar,syr,HABIBI,score,0.13396591623703744,1
dialect_average,syr,__average__,score,0.1328536936718997,3
