dataset,dialect_code,prob,dialectness,score,macro_score
BTEC,dza,0.2179902825297904,0.7232408612442669,0.15405673538533804,0.37190521337404897
BTEC,egy,0.14822462361742508,0.7958497511595488,0.12252630042554002,0.1288370479207942
BTEC,mar,0.5329663007686031,0.6983389299956616,0.38330121820500823,0.40388964321521476
BTEC,pse,0.2757707909162855,0.7753876180946827,0.2130545121058617,0.7484504993872184
BTEC,sau,0.04684731421908509,0.7163738415949047,0.0246729246710288,0.052332331156297256
BTEC,sdn,0.05602471546764718,0.7302336300909519,0.038843700223804165,0.0677759902464417
BTEC,syr,0.33327303857542573,0.78882947050035,0.27747120326165725,0.7652817533704969
FLORES,egy,0.10593705207225866,0.6150814482569694,0.06651934655024759,0.07339141599283452
FLORES,mar,0.7751297822414199,0.572224751948379,0.4385271444408825,0.4441868797000638
FLORES,pse,0.24471283318882342,0.6064097342640161,0.17205612270084003,0.5743205458296785
FLORES,sau,0.013961831521082785,0.6413984506390988,0.004751141976963783,0.025194529944783675
FLORES,syr,0.35924750595353544,0.6227886202931404,0.2065873229567554,0.603550250848789
HABIBI,dza,0.12353253531257687,0.6872610596768643,0.06932208564969337,0.32649030685396296
HABIBI,egy,0.13366633055207786,0.7601194742321968,0.10315796685416817,0.10524260321226453
HABIBI,kwt,0.011323902581279981,0.7376415971666574,0.005172961456651923,0.06020136357326954
HABIBI,mar,0.422468679168378,0.7157387859746813,0.2888314642840461,0.37963285443373024
HABIBI,pse,0.22034406055433628,0.8006909107550596,0.17820173459799724,0.7369748962465855
HABIBI,sau,0.0034753935688058846,0.7152034001424908,0.0018379098932827943,0.02360960609752889
HABIBI,sdn,0.031143702621232488,0.7837433090773962,0.028391751321017244,0.07481634888136768
HABIBI,syr,0.31857100238790736,0.8472911700606346,0.2648301080178008,0.7655364702724964
