dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,dza-eng,0.0,0.0,0.0,0.0,0.2402097692176927,0.43537155401929356
BTEC,dza-msa,0.0,0.0,0.0,0.0,0.06834821023608263,0.2737921650375025
BTEC,egy-eng,0.0,0.0,0.0,0.0,0.319547913664493,0.5109511940270752
BTEC,egy-msa,0.0,0.0,0.0,0.0,0.0729526985351281,0.2856250200552936
BTEC,eng-dza,0.3491898477205541,0.5086210580100305,0.19869111083834273,0.4349281421480039,0.09439015345629224,0.2688217201266264
BTEC,eng-egy,0.5610094029280299,0.685684123103274,0.43824530834521797,0.4782109313311264,0.1462539102309133,0.33543327770220777
BTEC,eng-sau,0.24466781287228515,0.5065903631481342,0.1313021280925188,0.23565804789344164,0.14423964304179784,0.3518727473896477
BTEC,eng-syr,0.2994913236638604,0.5943655611530994,0.20144862581370362,0.4621482497720901,0.1264941168952496,0.3040181855107089
BTEC,msa-dza,0.38982978316111255,0.49145731551543576,0.23120818109032193,0.42083474105160035,0.07062564904711824,0.27038998029650063
BTEC,msa-egy,0.5357472940778826,0.6361420725195785,0.4041317282134839,0.4306889832978603,0.10484914484793113,0.31274497490295594
BTEC,msa-sau,0.1216668780458349,0.5695098177657928,0.07691438868191859,0.19823670276009608,0.08753516638452996,0.30359823912209716
BTEC,msa-syr,0.26307635934936113,0.5879183214769,0.18127362436971192,0.46764329795945103,0.10303397266566833,0.31014898615294284
BTEC,sau-eng,0.0,0.0,0.0,0.0,0.4114420723828493,0.5873906766965985
BTEC,sau-msa,0.0,0.0,0.0,0.0,0.10605641114481697,0.3238626222066322
BTEC,syr-eng,0.0,0.0,0.0,0.0,0.3353909183642408,0.5053162321335394
BTEC,syr-msa,0.0,0.0,0.0,0.0,0.08624274569822057,0.2971973399668428
FLORES,egy-eng,0.0,0.0,0.0,0.0,0.03621574453246439,0.19284684191980284
FLORES,egy-msa,0.0,0.0,0.0,0.0,0.044727767301535326,0.12553003722953915
FLORES,eng-egy,0.17638137646077667,0.2110023974691285,0.10568656853060428,0.11936892530065851,0.040603841540301715,0.12381874916666544
FLORES,eng-sau,0.03517537213263495,0.17832580726826563,0.013688237775059143,0.022844114564324426,0.04613468677777899,0.1358340440858078
FLORES,eng-syr,0.1018468885848415,0.14981805274263024,0.05731871076302137,0.11760328226063406,0.028074649467728367,0.08887089771146613
FLORES,msa-egy,0.07894030802825,0.11000560063635931,0.04016538050027478,0.04502251209676753,0.020498318410901897,0.0674968947599185
FLORES,msa-sau,0.02819553726068989,0.14592078308807685,0.007499915254515595,0.028207020902346024,0.06217393364621297,0.1478894068465881
FLORES,msa-syr,0.09842933025996899,0.14087604504136833,0.051454146179638685,0.10425067877535897,0.02521612700906281,0.09155716719133605
FLORES,sau-eng,0.0,0.0,0.0,0.0,0.03820362418772135,0.18696275692755382
FLORES,sau-msa,0.0,0.0,0.0,0.0,0.04376655094256025,0.09347610259959115
FLORES,syr-eng,0.0,0.0,0.0,0.0,0.029803941524815622,0.15313768498422464
FLORES,syr-msa,0.0,0.0,0.0,0.0,0.03472633477997598,0.09364490167039516
