dataset,dialect_code,prob,dialectness,score,macro_score
Cohere,dza,0.02817446975971718,0.15637930776133682,0.017954731043872716,0.08344998415512755
Cohere,egy,0.12351472021052332,0.11909838743282086,0.08807989598111432,0.09085497780310563
Cohere,kwt,0.002783903131270875,0.11118636122255614,0.0011987646677844462,0.02078453050249369
Cohere,mar,0.07885653537585202,0.09775118590003312,0.049839670526559035,0.05385218491132783
Cohere,pse,0.03256006834786291,0.091737016395788,0.02423816947507664,0.03202371089882717
Cohere,sau,0.013696517661270318,0.09012039596534739,0.007342901185424196,0.009587252097072384
Cohere,sdn,0.01912079201752527,0.11042796436584357,0.00962069609843695,0.08494542507642236
Cohere,syr,0.049041520845323726,0.12232190897368421,0.04017253264206968,0.06186204861459258
Okapi,dza,0.0738304744821653,0.5507918289303779,0.04693403735432025,0.21768747017352813
Okapi,egy,0.9405738499946892,0.6567964490316808,0.63098859893865,0.631670605790526
Okapi,kwt,0.00918805625726236,0.5644783056341112,0.005270657699989447,0.049744907848437526
Okapi,mar,0.6915393380436581,0.5743121263384819,0.3858579036938258,0.38819799435652674
Okapi,pse,0.44616540039889513,0.559998025521636,0.2677496319250966,0.35543834283322284
Okapi,sau,0.03722103093692567,0.525030106632039,0.007407615596433025,0.023254644237009445
Okapi,sdn,0.1399583262889064,0.5680235345661641,0.07824979601777916,0.5028320859451425
Okapi,syr,0.25018104013812265,0.614561891257763,0.15576623721997734,0.332834106418665
ShareGPT,dza,0.13887528823172032,0.46795739165041594,0.07419992908448178,0.20314643573617538
ShareGPT,egy,0.8948863344639539,0.5560516399017069,0.5144126488216003,0.5193586003603802
ShareGPT,kwt,0.027307610372663476,0.47397291177883744,0.010182704415904454,0.08785882395216328
ShareGPT,mar,0.7314883921062574,0.4609188416460529,0.3457933556148832,0.34672912338261663
ShareGPT,pse,0.23009709992620628,0.49966384656727314,0.1162777252513173,0.19203795667804266
ShareGPT,sau,0.03030319690995384,0.429821427538991,0.011298264699083176,0.021607418505013517
ShareGPT,sdn,0.1729308867821237,0.5148891822155565,0.0749632523915265,0.45816861714158436
ShareGPT,syr,0.17434572803598714,0.4923149028420448,0.10393631057262365,0.23676518280145853
