dataset,dialect_code,prob,dialectness,score,macro_score
BTEC,dza,0.14596331505868876,0.6542892761994153,0.10026285888961406,0.43062719019220175
BTEC,egy,0.933585820090957,0.7787999199330806,0.7418627535960645,0.7459478890852549
BTEC,mar,0.7445527708833106,0.657205895781517,0.5071291162521653,0.5278786058046252
BTEC,pse,0.12917690583737568,0.7414949232339859,0.09771080659836817,0.23427687138465386
BTEC,sau,0.08037843440542929,0.6716269864141942,0.04738345701774104,0.12483399271752656
BTEC,sdn,0.15926974617294035,0.7302035090513528,0.1119449753107707,0.6349622658160253
BTEC,syr,0.08666637923939562,0.7360450254380703,0.06648688785077317,0.31404445919588486
FLORES,egy,0.8728962011996191,0.6486395021155477,0.5817325928955114,0.5852330810885199
FLORES,mar,0.8001807331352029,0.5297262612544,0.42680018362060534,0.4355939897398767
FLORES,pse,0.08982400180597323,0.6244098427146674,0.06516014357768408,0.1359553957243493
FLORES,sau,0.030559998685785104,0.6108527671732008,0.019185709602903465,0.04217163389052226
FLORES,syr,0.05631594237172976,0.6169183413684368,0.031733400414404464,0.2371732154659425
HABIBI,dza,0.08828328764327031,0.6965295115723971,0.05448592739602209,0.45875924503703447
HABIBI,egy,0.8835962916817516,0.7755882567167283,0.6919892898857857,0.6930434998494789
HABIBI,kwt,0.016038236557797063,0.7265103759616613,0.007718039334009087,0.0507497309897452
HABIBI,mar,0.5194987435638905,0.6631795561406761,0.33357321938774576,0.39817531834540804
HABIBI,pse,0.06718357781676623,0.795488314368786,0.05553691114916205,0.12388194473672555
HABIBI,sau,0.016731243620306487,0.6694451595208375,0.008469561526328525,0.061883004379356794
HABIBI,sdn,0.05937472197179612,0.7522962049490982,0.05121799970181036,0.6815114459440917
HABIBI,syr,0.048329338018083944,0.7945347592234612,0.03941543682962925,0.2907218047791107
