dataset,dialect_code,prob,dialectness,score,macro_score
BTEC,dza,0.20419571448699572,0.7064968865551055,0.14331088405858203,0.3809536727357948
BTEC,egy,0.8820123085076921,0.7801291333604604,0.7254064139034619,0.73323696670303
BTEC,mar,0.6681487752054818,0.6746829014678951,0.4548385545329886,0.4810819191289154
BTEC,pse,0.1429865411213541,0.7558201291412115,0.1148044470056323,0.21806303897224524
BTEC,sau,0.06901406545890496,0.6765118916518986,0.040976941479926456,0.10308363045793849
BTEC,sdn,0.16204984674914158,0.7489537960663438,0.12886882139044176,0.646484739666647
BTEC,syr,0.07053469821432373,0.7608137375488877,0.05482425715415737,0.3763784406611686
FLORES,egy,0.8823825965914875,0.6524500127695501,0.6030896410109726,0.6085002713360513
FLORES,mar,0.8255872434610501,0.5234507509029936,0.44090071352803517,0.45868894614964334
FLORES,pse,0.07495715257653501,0.6141796519607305,0.05460560595646734,0.12749607731761098
FLORES,sau,0.023839751408377196,0.6221150112431496,0.017531654613433686,0.03616824295620572
FLORES,syr,0.0657081561308587,0.635470374841243,0.04555020766476149,0.23782939348084026
HABIBI,dza,0.10110287779932788,0.6274472445713881,0.05265402019521416,0.2914926641727942
HABIBI,egy,0.898791961632669,0.8012527458369731,0.7293300031428456,0.7320884660322874
HABIBI,kwt,0.005022059714829084,0.7469481748342514,0.0027067326723376486,0.07097236447485768
HABIBI,mar,0.43268587652011775,0.6911386394500733,0.2793406500679152,0.33310378905267746
HABIBI,pse,0.06486143619613124,0.7890961731855686,0.05320770167475929,0.10943965417959389
HABIBI,sau,0.012430657339282334,0.7213763065938837,0.006050560267487936,0.054055703642137326
HABIBI,sdn,0.10780201109109937,0.7730032074195082,0.0865108991555351,0.6979711049147742
HABIBI,syr,0.05006886285962537,0.8122441159188747,0.040664943853606354,0.27975157557936625
