row_type,dialect_code,dataset,metric,delta,num_rows
bar,dza,BTEC,score,0.005042172313057841,1
bar,dza,HABIBI,score,-0.008640330651722483,1
dialect_average,dza,__average__,score,-0.001799079169332321,2
bar,egy,BTEC,score,0.4277676571562445,1
bar,egy,FLORES,score,0.36935501200058174,1
bar,egy,HABIBI,score,0.3485710281791545,1
dialect_average,egy,__average__,score,0.3818978991119935,3
bar,kwt,HABIBI,score,-0.00462740909461468,1
dialect_average,kwt,__average__,score,-0.00462740909461468,1
bar,mar,BTEC,score,0.13357401550253428,1
bar,mar,FLORES,score,0.23861824998731182,1
bar,mar,HABIBI,score,0.06734010975520816,1
dialect_average,mar,__average__,score,0.14651079174835144,3
bar,pse,BTEC,score,0.05170912486071437,1
bar,pse,FLORES,score,0.03400989507436254,1
bar,pse,HABIBI,score,0.013585275100307506,1
dialect_average,pse,__average__,score,0.033101431678461475,3
bar,sau,BTEC,score,-0.002653281116653465,1
bar,sau,FLORES,score,0.014068381002145981,1
bar,sau,HABIBI,score,-0.022964420016454483,1
dialect_average,sau,__average__,score,-0.0038497733769873223,3
bar,sdn,BTEC,score,0.021812446878712533,1
bar,sdn,HABIBI,score,0.02891030976675313,1
dialect_average,sdn,__average__,score,0.02536137832273283,2
bar,syr,BTEC,score,-0.016228892233408718,1
bar,syr,FLORES,score,0.017560859209645063,1
bar,syr,HABIBI,score,-0.05873796408083987,1
dialect_average,syr,__average__,score,-0.019135332368201176,3
