dataset,dialect_code,prob,dialectness,score,macro_score,SpBLEU_corpus_score,ChrF_corpus_score
BTEC,dza-eng,0.0,0.0,0.0,0.0,0.28101186454466853,0.4778815109599403
BTEC,dza-msa,0.0,0.0,0.0,0.0,0.08519131980217744,0.3024699958238832
BTEC,egy-eng,0.0,0.0,0.0,0.0,0.34624808591594586,0.5237195166887711
BTEC,egy-msa,0.0,0.0,0.0,0.0,0.08598888580583143,0.30378232158920343
BTEC,eng-dza,0.28931244298299136,0.5108224978204816,0.18186670307592365,0.4153336277392804,0.09339626741527741,0.26980029767133323
BTEC,eng-egy,0.6012519282105495,0.6856424763903487,0.46693216083216865,0.5039538477330902,0.1645473499047651,0.34844422607949777
BTEC,eng-sau,0.28520098674707695,0.5033679307153216,0.15825676005148054,0.24854903262939057,0.19129758166646255,0.3757085239493803
BTEC,eng-syr,0.2428547898731631,0.6505145661748247,0.1787490020318583,0.501245580036625,0.1467684527989636,0.33541340793795255
BTEC,msa-dza,0.4281535087438897,0.4920368186099222,0.24767813948811918,0.4132451558916051,0.10027156680113476,0.2899670063687603
BTEC,msa-egy,0.6041484988592856,0.6493968011709512,0.45825041322020743,0.48910671032168146,0.15004234636776864,0.35077138784503764
BTEC,msa-sau,0.21452346894286164,0.5793500527256401,0.13382554113171247,0.22105325223694286,0.16365413808362983,0.364326920723833
BTEC,msa-syr,0.2188653533533943,0.6314465526590357,0.14695399623339295,0.49161911634237626,0.139430190844988,0.35519325515052474
BTEC,sau-eng,0.0,0.0,0.0,0.0,0.4438952437952181,0.6094943204920873
BTEC,sau-msa,0.0,0.0,0.0,0.0,0.12557661405986775,0.3488518490195354
BTEC,syr-eng,0.0,0.0,0.0,0.0,0.390331574022375,0.5468480233605915
BTEC,syr-msa,0.0,0.0,0.0,0.0,0.106282370965102,0.3226170617647001
FLORES,egy-eng,0.0,0.0,0.0,0.0,0.267798444280771,0.5264207528089688
FLORES,egy-msa,0.0,0.0,0.0,0.0,0.3491016490137732,0.525175446660937
FLORES,eng-egy,0.6994803223293274,0.5687698013277259,0.44677426426512257,0.4747026119851614,0.1882558146770946,0.3872904256315232
FLORES,eng-sau,0.08520642730440159,0.4078324342949782,0.03359848686767131,0.06341153705537333,0.1622445923307847,0.36300062104074826
FLORES,eng-syr,0.12945516233223317,0.512325619221665,0.07507176746887806,0.2935633609318625,0.16757871725396817,0.3734537412858438
FLORES,msa-egy,0.6075933011766756,0.4912962907954352,0.3683042157871347,0.39591470139220436,0.34027884949313747,0.5256817953740008
FLORES,msa-sau,0.10851436213317356,0.3942279895514366,0.047652190774920396,0.07184511553866023,0.4081856061050525,0.574033167935676
FLORES,msa-syr,0.22574305057903984,0.43209736464341403,0.10061090744673297,0.31611824002765476,0.2568164967296619,0.4625588183764755
FLORES,sau-eng,0.0,0.0,0.0,0.0,0.334778270654647,0.5763981359320963
FLORES,sau-msa,0.0,0.0,0.0,0.0,0.6101965158059306,0.7240203258062514
FLORES,syr-eng,0.0,0.0,0.0,0.0,0.30005723882813196,0.5376338427296143
FLORES,syr-msa,0.0,0.0,0.0,0.0,0.27962774324372885,0.47649919933204865
