dataset,dialect_code,prob,dialectness,score,macro_score
Cohere,dza,0.04998607269248389,0.5820863233324178,0.031181922787931877,0.5719679004600025
Cohere,egy,0.0029825671514816057,0.5914817709814418,0.002019861013756951,0.00754616919617721
Cohere,kwt,0.0003443282256914171,0.5307751659567308,0.00015979237445858932,0.0031410551515113506
Cohere,mar,0.8730695387630751,0.6125871158684745,0.5854771720522746,0.6100343995094372
Cohere,pse,0.005291980105943771,0.5893435781925089,0.004457007936440539,0.01862373186949751
Cohere,sau,0.006633790394875122,0.5129653839229823,0.00014028075271142342,0.0020371598576762804
Cohere,sdn,0.0002928100853530464,0.5994283515922348,0.00016423355673159527,0.0013757344941797032
Cohere,syr,0.020911982020914714,0.6151392433528948,0.010198341481201627,0.01553527701313696
Okapi,dza,0.025901530890259893,0.6373442884907127,0.01999695689145657,0.6352816200883372
Okapi,egy,0.002271935787575785,0.6309035152615979,0.0012605059598518095,0.001587036579078758
Okapi,kwt,0.0002990895160473883,0.6266934237070382,0.0001772571939097866,0.0014720801740040839
Okapi,mar,0.9858981096558272,0.6615883907675744,0.6574036723544749,0.6580331758259479
Okapi,pse,0.0015291613842418883,0.6008547132462263,0.0010989211179537007,0.008002276911175294
Okapi,sau,0.008526048999410705,0.5386751706339419,0.00021594595347413362,0.0028633471913753657
Okapi,sdn,0.0003519452737236861,0.5989773802855052,0.00010465169303250334,0.0004982444764357681
Okapi,syr,0.014536288996023359,0.6340980892581866,0.006262558643628685,0.015310519007858493
ShareGPT,dza,0.041267797964974304,0.5980659774830565,0.027295900374428403,0.5960929273259463
ShareGPT,egy,0.022723209718242286,0.5763330266810953,0.010711809884347103,0.010933467403903156
ShareGPT,kwt,0.0003246789013792295,0.5369575887173414,0.00015542824957239258,0.003855030398142756
ShareGPT,mar,0.9957427245378494,0.61760364189744,0.614986083982664,0.6155667800277507
ShareGPT,pse,0.0022232744870416352,0.5143833262007683,0.0011604133050390072,0.010990036661490643
ShareGPT,sau,0.0008678577550745104,0.4589817486621905,0.0001229426053176322,0.00865954329282032
ShareGPT,sdn,0.01796323463320732,0.5452519151289016,0.01208357655916642,0.012557397494391768
ShareGPT,syr,0.020849130476563005,0.5415052843559534,0.008784494528798285,0.02041871840783183
