dataset,dialect_code,prob,dialectness,score,macro_score
BTEC,dza,0.1351734872639645,0.6596222276357002,0.10105375598316232,0.6363394046851156
BTEC,egy,0.01815095920508611,0.7443801159411669,0.012596462260666415,0.021433599566809458
BTEC,mar,0.9378132390230894,0.6877304462902248,0.6688550267502077,0.6774417278891035
BTEC,pse,0.01785566038379329,0.7447469949675724,0.00905532818169223,0.028484661121353706
BTEC,sau,0.023777300782167003,0.7363617633283138,0.019040531504668813,0.02316351892847156
BTEC,sdn,0.0012094138392421882,0.7398923043906689,0.0008726520459873102,0.017713937819618348
BTEC,syr,0.010231543964910089,0.7340868922322988,0.00928074193954336,0.010135027215819974
FLORES,egy,0.0060606227474636395,0.6336935252696275,0.004077326327987904,0.0095465109430705
FLORES,mar,0.946659410893917,0.5492745835287497,0.5359213985838508,0.5469974569589793
FLORES,pse,0.0026633625308750196,0.6147805676236748,0.001121683868115312,0.0045583307756417914
FLORES,sau,0.00018084901981637813,0.6468683415651322,0.00010955991038784856,0.0012854669234155557
FLORES,syr,0.001490732075908454,0.6239657825883478,0.00017914817860849655,0.0007111255822110253
HABIBI,dza,0.12082242740695526,0.6642148239904715,0.0641728426451656,0.6590522432759318
HABIBI,egy,0.02381933317577932,0.7644124400615692,0.01628501422248203,0.01660663645765096
HABIBI,kwt,0.004224381310050376,0.7266088832728564,0.00034358369115781827,0.007460253325759724
HABIBI,mar,0.8614160037273542,0.6975341607781593,0.6466931473744434,0.6773358685686222
HABIBI,pse,0.0026928752642841293,0.7959285118879799,0.00201959035742244,0.008789068856870553
HABIBI,sau,0.0050352877391560465,0.6925724606588483,0.0014700902650523913,0.010530273949268632
HABIBI,sdn,0.011011887141922739,0.7292726289841437,0.007225796608406957,0.02825481646526228
HABIBI,syr,0.00780103158824204,0.7708374170958996,0.004339890352251607,0.014309019343061365
