dataset,dialect_code,prob,dialectness,score,macro_score
Cohere,dza,0.09252795600920276,0.3527487784581767,0.047231948880823695,0.19841282371845567
Cohere,egy,0.5058534810327774,0.5227816572243517,0.3375567961993788,0.35137927976985905
Cohere,kwt,0.01801774839854757,0.42800540698579315,0.006785900329095987,0.19341176337055405
Cohere,mar,0.4458766633061447,0.413990655551768,0.2224461646400664,0.2658827500217317
Cohere,pse,0.21505628459507156,0.4429420613509725,0.11836352001706972,0.32557815636653775
Cohere,sau,0.16611384184098557,0.258465102157612,0.04491053557685556,0.12599016101534968
Cohere,sdn,0.14591380109483695,0.4448367554054718,0.06816088962341964,0.23967189791277554
Cohere,syr,0.23690479061968456,0.439534478477494,0.11969314282701919,0.3262710354370277
Okapi,dza,0.24623541845852742,0.33716294820886106,0.09109988598202726,0.21184016808949957
Okapi,egy,0.7501743939088192,0.5218297430686653,0.4195296446746435,0.42094069470989814
Okapi,kwt,0.0647320504183881,0.36254532508552073,0.01930621008375729,0.23526015292575142
Okapi,mar,0.6935796072904487,0.39885922816582026,0.28908610852337413,0.3041440553317855
Okapi,pse,0.4952255556808086,0.42316162161529064,0.23623413990382544,0.36102268269365095
Okapi,sau,0.18352130546118134,0.23575664350762962,0.051119573269390275,0.13739886578355473
Okapi,sdn,0.30650968633577574,0.43435663858428597,0.14812236969649364,0.27237065701034024
Okapi,syr,0.3889668001246173,0.4402604316081852,0.19494870074567644,0.39867657201688844
ShareGPT,dza,0.19869537944163312,0.2780284699279582,0.0675669927668149,0.1773396442745759
ShareGPT,egy,0.7445702407680801,0.4325725958868861,0.3381727899843396,0.33915259158059113
ShareGPT,kwt,0.04944180706981569,0.2521899562142789,0.011134009393251898,0.1656789553707167
ShareGPT,mar,0.6669780089674169,0.33808104678522793,0.24046066116326018,0.2548356844776
ShareGPT,pse,0.2505286859392072,0.3248769661365077,0.08759348724218395,0.2400933674932814
ShareGPT,sau,0.31783623556722884,0.1228637002594769,0.040397974024681656,0.09531932018026534
ShareGPT,sdn,0.20207925227703527,0.35655704481061545,0.07372642595748793,0.20212641393031677
ShareGPT,syr,0.2688071897445479,0.3403229534300044,0.10971249347460228,0.2600921066611787
