row_type,dialect_code,dataset,metric,delta,num_rows
bar,dza,BTEC,score,0.034227619750137384,1
bar,dza,HABIBI,score,-0.008391451449800559,1
dialect_average,dza,__average__,score,0.012918084150168412,2
bar,egy,BTEC,score,0.1337061701895631,1
bar,egy,FLORES,score,0.07739074097041912,1
bar,egy,HABIBI,score,0.029173430337290363,1
dialect_average,egy,__average__,score,0.08009011383242419,3
bar,kwt,HABIBI,score,0.010027722078624075,1
dialect_average,kwt,__average__,score,0.010027722078624075,1
bar,mar,BTEC,score,0.20739496388084838,1
bar,mar,FLORES,score,0.1988578228409468,1
bar,mar,HABIBI,score,0.11321263930930747,1
dialect_average,mar,__average__,score,0.17315514201036755,3
bar,pse,BTEC,score,0.09989870664686175,1
bar,pse,FLORES,score,0.05359397469845929,1
bar,pse,HABIBI,score,0.16252909961645734,1
dialect_average,pse,__average__,score,0.10534059365392612,3
bar,sau,BTEC,score,0.10755992974019318,1
bar,sau,FLORES,score,0.0641261961083198,1
bar,sau,HABIBI,score,0.03792628906361152,1
dialect_average,sau,__average__,score,0.06987080497070818,3
bar,sdn,BTEC,score,-0.0017919534988587449,1
bar,sdn,HABIBI,score,0.02120262955213563,1
dialect_average,sdn,__average__,score,0.009705338026638442,2
bar,syr,BTEC,score,0.05929024147215846,1
bar,syr,FLORES,score,0.05360110859491163,1
bar,syr,HABIBI,score,0.022297417668703953,1
dialect_average,syr,__average__,score,0.04506292257859135,3
