dataset,dialect_code,prob,dialectness,score,macro_score,acc,macro_prob,SpBLEU_corpus_score,ChrF_corpus_score,estimator,status,progress,num_finish_reason_MAX_TOKENS,num_samples,num_skipped,num_from_cache,line_acc,en_word%,out_of_range_word%,has_word_codeswitch,has_line_codeswitch,line_prob,line_macro_prob,line_dialectness,prob/90%_ci_low,prob/90%_ci_high,dialectness/90%_ci_low,dialectness/90%_ci_high,score/90%_ci_low,score/90%_ci_high,macro_score/90%_ci_low,macro_score/90%_ci_high,insufficient_tokens,line_pass_rate,word_pass_rate,best_guess_dialect,best_guess_prob,errors,task_duration,lid_acc,num_finish_reason_COMPLETE,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,response_spBLEU/90%_ci_low,response_spBLEU/90%_ci_high,response_chrF/90%_ci_low,response_chrF/90%_ci_high,BLEU_corpus_score,dialectid_score/90%_ci_low,dialectid_score/90%_ci_high,num_finish_reason_stop,num_finish_reason_length,inference_price_usd
Cohere,dza,0.00874873697275597,0.006083805168122806,0.0016193102735490772,0.003817591572898444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cohere,egy,0.012278312056400634,0.010425936176695606,0.005725538502419946,0.005810253481408316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cohere,kwt,0.0012279102811589837,0.009195454379854104,5.0983947045347176e-05,0.007091573728449684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cohere,mar,0.023080208897943412,0.007335736698499231,0.0014255423801111577,0.002770018304560002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cohere,pse,0.0023249592837839943,0.0012313528597881697,5.066386223649168e-05,0.00017578595340397325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cohere,sau,0.013512540714476596,0.00426064883688032,0.00010923927109667332,0.0008856845958494749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cohere,sdn,0.003386849148264813,0.022239407029995373,0.00036871260625701897,0.011798300721741638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cohere,syr,0.012281672583394354,0.005362947109258837,8.959299065776515e-05,0.00019082486863279444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okapi,dza,0.010522780695464463,0.0029258831404149533,4.711650185067474e-05,0.00019177885459980976,0.16,0.030881397211924195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okapi,egy,0.05041792953736149,0.00424945374019444,0.0013633359956997692,0.0014055318146868644,0.29,0.053923581434064546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okapi,kwt,0.05105479396879673,0.003608980216085911,0.00010318956889339357,0.002965607251853856,0.39,0.21496058539662044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okapi,mar,0.07451899843057617,0.000519545255228877,3.374798818741472e-05,0.0002646970433475838,0.19,0.09332416910066968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okapi,pse,0.03400625052745454,0.002409094991162419,5.4039965446692205e-05,0.00014253702030813406,0.19,0.06874598029593472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okapi,sau,0.05566660811091424,0.0066782191582024095,0.0020905354781931363,0.003845852395495951,0.41,0.21944364921786474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okapi,sdn,0.04297988818609156,0.0006993450969457626,6.18412097202634e-06,1.5166159166531157e-05,0.27,0.0509635064820759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okapi,syr,0.03505189456045628,0.003347436347976327,0.0005519831433584928,0.00115306641527714,0.14,0.04855019405425992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareGPT,dza,0.03171835226239637,0.008997247591614722,0.0010013611011554903,0.0013483267222565388,0.19,0.04770162229426205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareGPT,egy,0.056063471715606286,0.012267895415425301,0.003042682699473169,0.0032828840447352505,0.34,0.06030493707890855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareGPT,kwt,0.04522110361023806,0.011191642610356212,0.0012375779543473905,0.010687420571958763,0.42,0.32067021536582613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareGPT,mar,0.03384312707115896,0.01366396258585155,0.0012747794799620568,0.0021222140197285923,0.19,0.04673653721692972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareGPT,pse,0.011724493958754465,0.003087021429091692,2.725529081665951e-05,0.00019293096319953907,0.11,0.031224084129789845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareGPT,sau,0.0370394588180352,0.0009881861228495836,7.316785042508594e-05,0.0008923616976483058,0.38,0.26432223308482206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareGPT,sdn,0.07904977027792484,0.009024927914142609,0.005388022082387811,0.0054059027840800715,0.36,0.08049877636716701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareGPT,syr,0.033279943270608785,0.0020268641505390406,0.0017816268357589377,0.0018208536504532458,0.15,0.041945997513830664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,dza,0.24339334267395316,0.23002839755266904,0.09132113294148982,0.15005347485497086,0.97,0.5026583385885169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,egy,0.2624864198756404,0.2734697941597551,0.1587463707606604,0.18501908428895494,0.92,0.3233028816911974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,mar,0.31036800310132096,0.1787428109999746,0.1137451795584322,0.12894243007616382,0.87,0.4215610209280567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,pse,0.04879905427224003,0.14841568815521897,0.012644278511684957,0.08669536687178868,0.97,0.24959203482430894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,sau,0.06660984675458166,0.060720410430803895,0.011034421937408391,0.04846020540159333,0.92,0.6673173830048472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,sdn,0.19984217872144655,0.14489034596830608,0.06855244142931735,0.07701546732891285,0.97,0.2540027061053843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,syr,0.15187288979068397,0.16633641707710922,0.050961521805033244,0.11016189027914632,0.9,0.35802535186638124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORES,egy,0.19538108392618597,0.1363365025119856,0.0925945777316473,0.10157913725193574,0.75,0.2280196594100562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORES,mar,0.23611860985169186,0.11254210263490677,0.07174565652220724,0.08941846517286059,0.75,0.3823799229603901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORES,pse,0.029690590023237748,0.042612760802730916,0.0020065160409273195,0.022105327910831765,0.79,0.1795949778969225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORES,sau,0.045738531918177616,0.022841647267341614,0.0005720906436539952,0.010963246408815337,0.77,0.42680099334378613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORES,syr,0.047390642045938874,0.04988500759936869,0.007012080722936567,0.022313810834676838,0.79,0.19470127812091959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HABIBI,dza,0.25748503923579386,0.2128090039644947,0.09801762066644688,0.15351719585779458,0.9080459770114943,0.48776092202350463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HABIBI,egy,0.25325953686609864,0.23741460498422384,0.14420124777894106,0.14802644607965468,0.93,0.2728180550329853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HABIBI,kwt,0.00857046618795721,0.1262750631570816,0.002231020503461724,0.06890141612119853,0.94,0.5462710311939009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HABIBI,mar,0.29040246177115475,0.2010457968711853,0.06802269852293161,0.1077121882359604,0.93,0.4931724505528109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HABIBI,pse,0.035566591055659305,0.19058980827386945,0.015807126295598904,0.052902461242311426,0.9230769230769231,0.14343467628630327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HABIBI,sau,0.04291902416938683,0.07046722689643502,0.005967981100260576,0.04060306487352508,0.85,0.4407762371801073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HABIBI,sdn,0.07847080662939197,0.1823700532837901,0.03537796624628162,0.06584591500569327,0.956989247311828,0.19050604259934506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HABIBI,syr,0.0990722387956339,0.17486672470346093,0.030838358207071502,0.09495795407019215,0.91,0.2782448786566965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWEET,dza,0.3403105564866564,0.3256792534887791,0.15858244981455333,0.23394134989524634,0.9,0.6145670646967483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWEET,egy,0.2777756064813002,0.23444478772580624,0.15502228591045664,0.16623200024796636,0.83,0.30317706786139753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWEET,kwt,0.04248428691382287,0.11485534886829556,0.012915026793793288,0.06514466243632448,0.82,0.5009906753677206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWEET,mar,0.3776071531319758,0.22889155151322485,0.14018107565647756,0.16684906531480104,0.79,0.5104147348499101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWEET,pse,0.15681556835668745,0.1690858127363026,0.05674224163933849,0.0959651827831417,0.83,0.2985168632879504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWEET,sau,0.14983982029531034,0.12525319126434625,0.04960590380377727,0.08756937739681982,0.73,0.4326553580004838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWEET,sdn,0.28134340580407297,0.19780443948693574,0.11387913595538118,0.14044240075610234,0.82,0.34384770294971534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWEET,syr,0.17751595788169652,0.10981377825140953,0.049846354090424615,0.07872510833708962,0.77,0.3074579784838716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,dza,0.0,0.0,0.0,0.0,,,0.16727840941621688,0.4009984205341198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,dza,0.0,0.0,0.0,0.0,,,0.03177727420117227,0.14952303192146954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,egy,0.0,0.0,0.0,0.0,,,0.17829951127163737,0.4362810759142837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,egy,0.0,0.0,0.0,0.0,,,0.03913717804232966,0.1441344854746869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,dza,0.029155465071089567,0.04433827408967773,0.004174774548749063,0.006087123825944579,,,0.022890432891872405,0.12282132887512248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,egy,0.0487916382063122,0.0565622376758256,0.014891179685806272,0.020841051629199726,,,0.027827771554592755,0.1427991374094105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,mar,0.02420767462142976,0.03381764243153157,0.002326226255821012,0.004340579240399444,,,0.017057279418350862,0.09678141669665237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,pse,0.005932107572953101,0.04095092054049019,0.0007892071333454658,0.004265358233997172,,,0.021346605421327398,0.11546353711214125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,sau,0.08389826180267847,0.041560044236830435,0.006611800140422874,0.029315199528545145,,,0.03601688218395638,0.17050304840365796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,sdn,0.09256934546974663,0.054447731472610034,0.012350585676833418,0.015075194576142148,,,0.028357572452708965,0.13716211363328087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,syr,0.025044276409353187,0.04085662483295891,0.0011589269345825045,0.0041015952540015815,,,0.02442894047266235,0.14222166299134342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,mar,0.0,0.0,0.0,0.0,,,0.17242655996974904,0.4239746726620027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,mar,0.0,0.0,0.0,0.0,,,0.03757510312973775,0.13262131693310175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,dza,0.07437759086489677,0.04270884529920295,0.0025168290034032893,0.005061528983367024,,,0.036243143535202256,0.21230360862872766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,egy,0.0721532769643818,0.06892412353219697,0.0215745978809373,0.0345278180128919,,,0.05081126038073135,0.2408761327616654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,mar,0.107423447654146,0.04587435941415606,0.005328049087580332,0.008327162158746477,,,0.05500060658584108,0.24442794925281297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,pse,0.026656062329602718,0.033990639202529566,0.0010290100423302688,0.002743146386949613,,,0.04982611263880529,0.234473563654416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,sau,0.113460483145318,0.029751597690046764,0.003167391985588354,0.018009011954287214,,,0.06647962054999774,0.27705745281928096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,sdn,0.11303958266595146,0.061378023818833755,0.010770592262563999,0.02434764720884319,,,0.06051033510986672,0.2692714852267445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,syr,0.04519975693336164,0.03416266073007137,0.0011147360114266889,0.002918354866859283,,,0.04962542993975282,0.23617947220386662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,pse,0.0,0.0,0.0,0.0,,,0.21477031897867754,0.43638979134764017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,pse,0.0,0.0,0.0,0.0,,,0.03410659888969925,0.10633295943825863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,sau,0.0,0.0,0.0,0.0,,,0.17413692301909556,0.46274642817218115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,sau,0.0,0.0,0.0,0.0,,,0.049673419443319496,0.197402253528527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,sdn,0.0,0.0,0.0,0.0,,,0.3054565213403547,0.5269294339033108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,sdn,0.0,0.0,0.0,0.0,,,0.047670530492179675,0.14541112599554912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,syr,0.0,0.0,0.0,0.0,,,0.16391368434368886,0.4205914295455515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTEC,syr,0.0,0.0,0.0,0.0,,,0.03436676029498616,0.13037248378242774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORES,egy,0.0,0.0,0.0,0.0,,,0.23992690932592783,0.5190361172031244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORES,egy,0.0,0.0,0.0,0.0,,,0.06301150934487112,0.08166117255471414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORES,egy,0.033018315529770914,0.022828372778312768,0.004977889445713174,0.008046576509677503,,,0.06917565072785364,0.16160639637422722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORES,mar,0.02334550087514799,0.0011720213835360483,0.00017922387013632923,0.0002585320041998536,,,0.02105367306482524,0.050685135485871474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORES,pse,0.006567249564541271,0.009075968145043588,0.0008974467287785529,0.004149484540882133,,,0.04544284468564875,0.10442577724006565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORES,sau,0.029994165257303394,0.01184501890296815,0.0007664828025682311,0.004097736600495482,,,0.10459372339056165,0.19147250281990297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORES,syr,0.029978320219233866,0.007551573395030573,0.00025756954032806823,0.0008295966847169439,,,0.06676286644549942,0.16243179524050932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORES,mar,0.0,0.0,0.0,0.0,,,0.1841684635792956,0.4612601262317706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORES,mar,0.0,0.0,0.0,0.0,,,0.04440018664933221,0.060610432524006656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORES,egy,0.03272871198329085,0.013965998709318228,0.0007870843726115022,0.0016259411184679454,,,0.27694559279310516,0.3812039042216074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLORES,mar,0.050139646655879916,0.007964491904131137,0.0012099719742058913,0.004140501039053623,,,0.13729320732362452,0.2332255777966117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
