dataset,dialect_code,prob,dialectness,score,macro_score
Cohere,dza,0.09983403336802366,0.06175213083836504,0.012514653271452623,0.039824502541450174
Cohere,egy,0.2659406891266693,0.12123267036378195,0.07976984666672816,0.08026813417037311
Cohere,kwt,0.01795128881261035,0.08155045680163164,0.000770792296620504,0.024609085894070185
Cohere,mar,0.3142102629256745,0.06664280346453641,0.03957375459036336,0.05040142155868439
Cohere,pse,0.1309528646119306,0.0653366029204923,0.006995734859931752,0.028122423055972557
Cohere,sau,0.08155291436435279,0.025006512136461986,0.0060755494716810314,0.011302455799395266
Cohere,sdn,0.08271686064498028,0.059597066648285645,0.0011027492792325803,0.020473208535205692
Cohere,syr,0.1056063846447458,0.05943627388985602,0.004703864778228988,0.03606854928139613
Okapi,dza,0.3268517515010899,0.05347631989978254,0.0194307829559371,0.039807735668597646
Okapi,egy,0.4201062176830601,0.1260573410335928,0.10272215019760864,0.10320213127570156
Okapi,kwt,0.16582676310092212,0.040863012286135925,0.0043343188546499265,0.02390215174838468
Okapi,mar,0.6456394321564585,0.08944301029201597,0.07891705808353876,0.08057160338253358
Okapi,pse,0.4404370122030377,0.018685885582817717,0.007047323945486961,0.016254383699113945
Okapi,sau,0.22411885145353153,0.000678416145965457,0.00012639271214127885,0.00038909283386847433
Okapi,sdn,0.3482575960647955,0.029285195341799408,0.0066045264331280815,0.008872104349986035
Okapi,syr,0.3500840736797545,0.09708440117305145,0.03495996467812191,0.08426928598422094
ShareGPT,dza,0.1920046408046619,0.058833203584654256,0.016936789062420285,0.048766223391385664
ShareGPT,egy,0.4019451454863884,0.13903897990589031,0.11079010803068119,0.11168479228749888
ShareGPT,kwt,0.13385204652440735,0.03544864950235933,0.0011149777928601023,0.026536347158953193
ShareGPT,mar,0.5396416546788533,0.06781716820551083,0.06500535454283497,0.06543551846087377
ShareGPT,pse,0.2967707919573877,0.0449799540580716,0.021741628678620263,0.03668721560640368
ShareGPT,sau,0.2619901625881903,0.00014081756991799922,6.382125509631076e-05,0.00010834058720195662
ShareGPT,sdn,0.2731016072153579,0.028689934737049044,0.0019583593826042875,0.015427071012399134
ShareGPT,syr,0.22555255399201996,0.053549494212493304,0.013616441541986322,0.039698007748071466
