dataset,dialect_code,prob,dialectness,score,macro_score
Cohere,dza,0.016263719003134867,0.06036668519179026,0.010934804509942685,0.028423350025257737
Cohere,egy,0.010397599464414096,0.016625788326215262,0.004532093475853155,0.00478755605989345
Cohere,kwt,0.00029643675056050976,0.04619766146208,0.00010536172733506226,0.011057558669288517
Cohere,mar,0.008921026360394076,0.01946122914251655,0.0017819451554644853,0.0043000103415166205
Cohere,pse,0.01997926636279156,0.03264629870954186,0.015052842467937477,0.01962972277459985
Cohere,sau,0.009377801609742973,0.0077279551622617725,0.0016338516844893326,0.0035305469444159364
Cohere,sdn,0.011263293307333376,0.10214663099561055,0.007711977358996638,0.011856029733996604
Cohere,syr,0.01252004196114763,0.022996915353819578,0.00123960029957529,0.013282858447726966
Okapi,dza,0.04712742144794902,0.07127325613051654,0.016627171016403586,0.04100288714783197
Okapi,egy,0.05964107499923557,0.10237400140613317,0.02671568684195476,0.03997038442707454
Okapi,kwt,0.013415221046307125,0.4864622682193294,0.005662319785003259,0.07608347949317905
Okapi,mar,0.09154662203975023,0.06492187871597707,0.04581855833395168,0.05197477754087892
Okapi,pse,0.036789909393410196,0.06992652585729957,0.023683285491170873,0.03812152271881571
Okapi,sau,0.04865485552087193,0.35379209256730976,0.008128885286795968,0.0449320946503798
Okapi,sdn,0.021863397012639327,0.04262733359355479,0.009786858124435062,0.01602493848534419
Okapi,syr,0.04912857879971853,0.11352995608001948,0.02932424326955464,0.050865995359663844
ShareGPT,dza,0.17914015812566503,0.3511360072158277,0.07477112895292733,0.21225156144367646
ShareGPT,egy,0.5400645453552716,0.46081788159906867,0.2624531270486896,0.2640454376687581
ShareGPT,kwt,0.04151097198424395,0.36075016169808805,0.013607533425073384,0.14088275237436712
ShareGPT,mar,0.7308135072723962,0.4328092985181138,0.34478614216577524,0.34953413231636704
ShareGPT,pse,0.3009858036611695,0.38064993192092517,0.11066304405196194,0.32632920065640475
ShareGPT,sau,0.10320405828111688,0.2402259619999677,0.013734194018571544,0.05405469541644843
ShareGPT,sdn,0.15519690797344082,0.37063291495491285,0.0650027347584533,0.14857850355509375
ShareGPT,syr,0.36074352280353195,0.37948170489631594,0.16398157637841387,0.34649291494599166
