dataset,dialect_code,prob,dialectness,score,macro_score
BTEC,dza,0.04393789298017509,0.3214080470427871,0.025458249079696058,0.10655803612114355
BTEC,egy,0.10334837702044751,0.3413350999355316,0.05312960221254984,0.06364539726095605
BTEC,mar,0.2847638791031204,0.33851222187280655,0.17079122009604103,0.19149725847796603
BTEC,pse,0.10574488597019809,0.4368549844622612,0.0802436943351985,0.2889600805165182
BTEC,sau,0.07927446231995418,0.3500741745904088,0.02977487787832784,0.16001006645360938
BTEC,sdn,0.041673423613683556,0.40725138088688256,0.02853098003216949,0.07658925717551136
BTEC,syr,0.14174247250310146,0.5397442022711039,0.10967277482814106,0.2916186933621663
FLORES,egy,0.15323863853438524,0.2839983852952719,0.05872387181908749,0.06353741883286378
FLORES,mar,0.20472537103516517,0.2752629611920565,0.0679136473602428,0.10397415294663549
FLORES,pse,0.015779962564120068,0.32280630682129413,0.009926554351726345,0.043460753060791564
FLORES,sau,0.08089633316150867,0.2838496708497405,0.02450197074842756,0.1293461946013233
FLORES,syr,0.05625460640832898,0.33032727430574593,0.026603074384042923,0.07666165011301757
HABIBI,dza,0.05257182697706653,0.30603776306941594,0.028820672529752886,0.1484935931998248
HABIBI,egy,0.08691398695285897,0.3405802151281387,0.04457172067521647,0.057407393622076495
HABIBI,kwt,0.001549888493755134,0.27472743324935434,0.0005720208818738051,0.10746376006232397
HABIBI,mar,0.22011390657018637,0.31815126253291964,0.11291669189043041,0.13658802132333622
HABIBI,pse,0.00608184636439546,0.40832608501211953,0.003098712538241034,0.034737855601422396
HABIBI,sau,0.0772159235777508,0.3085947432368994,0.027218672113781053,0.1674618609902281
HABIBI,sdn,0.008192826334389568,0.3831302483756376,0.003737495405023574,0.05279215478154267
HABIBI,syr,0.055812374832457864,0.36555341698229316,0.034829855755517954,0.06452119498673513
