dataset,dialect_code,prob,dialectness,score,macro_score
Cohere,dza,0.011306520503230694,0.052171815751176895,0.00794346615406367,0.02199688087671767
Cohere,egy,0.015836142583848967,0.016965335329072646,0.00256028376825246,0.0026770068907543184
Cohere,kwt,0.00044309765963598786,0.04928885821742241,0.00017756687999545887,0.014271430022308898
Cohere,mar,0.06657698155895835,0.10023385120762719,0.035739736178653614,0.04917509665772892
Cohere,pse,0.005106782285506,0.04227963974229013,0.0020064718515195785,0.005408023182748566
Cohere,sau,0.0025872623808376226,0.015003960165712569,0.0006771081866015287,0.009642514669203324
Cohere,sdn,0.010114358708960935,0.02574123517431394,0.0051493243428999734,0.006742403561659427
Cohere,syr,0.0030541136917291265,0.026534797567309754,0.0008912959196430487,0.0013994095473503277
Okapi,dza,0.07815074027050287,0.14206267359666527,0.05255200009548937,0.10905697604418586
Okapi,egy,0.1479788046691101,0.13275812460575254,0.10123350751378143,0.10811447420925177
Okapi,kwt,0.0008235691083245911,0.04434058986604214,0.00023158264216978418,0.01151767962702517
Okapi,mar,0.0656851968402043,0.06887314503081143,0.03374878083529145,0.04498394429822348
Okapi,pse,0.0940456781280227,0.14248976960778237,0.061542443306192636,0.08704282993588297
Okapi,sau,0.004731153955726768,0.0905729254335165,0.0016737771053849577,0.022192129501636862
Okapi,sdn,0.09023064634704497,0.12421881549526007,0.060389332427578574,0.08540608592736992
Okapi,syr,0.05039662811119342,0.11216056622564792,0.030858741386422563,0.0605969371854235
ShareGPT,dza,0.022864128550863824,0.04611135337036103,0.004645871620443899,0.022231454886414325
ShareGPT,egy,0.5027345417562173,0.3201904189772904,0.28150034235296145,0.2923307095424177
ShareGPT,kwt,0.005505175764046726,0.07815880119800568,0.001888075687525157,0.021597096501965653
ShareGPT,mar,0.17449528547003865,0.08278787590563297,0.06661721134508618,0.07090495823996519
ShareGPT,pse,0.029153499137610197,0.06363872101181187,0.011537036829028076,0.018539803160986534
ShareGPT,sau,0.05638913836926804,0.08669117103563621,0.013605761689118789,0.024270090888161254
ShareGPT,sdn,0.13822528220451205,0.2657178311049938,0.0835144044254489,0.17164007039757362
ShareGPT,syr,0.020273619680665433,0.054307564198970794,0.012311439749975788,0.01587800906471962
