dataset,dialect_code,prob,dialectness,score,macro_score
BTEC,dza,0.17188445108193265,0.6547584587545134,0.11362003433069251,0.4808824912140265
BTEC,egy,0.13879434756818226,0.3381009265594184,0.0851132478680027,0.09393313548584992
BTEC,mar,0.3455138434690889,0.3244392378348857,0.17466421218182038,0.19795966473497312
BTEC,pse,0.004963774281059159,0.34184289295226333,0.0021911621487392015,0.02581560631782601
BTEC,sau,0.08775252029161493,0.28785868364735506,0.027032829860988317,0.11747325096457856
BTEC,sdn,0.016203378387144765,0.3266973778605461,0.00793152032008438,0.09202552142590534
BTEC,syr,0.04689149349535,0.3695710162899923,0.02753717969205105,0.0550937652487544
FLORES,egy,0.24480381427449174,0.4024881983734667,0.1740238591669515,0.19590256745896822
FLORES,mar,0.3351538301384426,0.3697291722614318,0.14700382843993814,0.1908944220529413
FLORES,pse,0.01846100724331336,0.38810107178986075,0.012230271134662941,0.04719852605962969
FLORES,sau,0.09591867798983003,0.3674187076091766,0.03156174961166111,0.12495590810095974
FLORES,syr,0.046926614392432384,0.3959565257932991,0.02629236726653599,0.09735454013705887
HABIBI,dza,0.05761939189102415,0.38901230290360833,0.03215274405836412,0.17057055408182442
HABIBI,egy,0.20256410365691407,0.41814873203635217,0.11830806301200841,0.12846539951557095
HABIBI,kwt,0.0021808316829265094,0.36548223566263915,0.0008056179952680511,0.11204934064988135
HABIBI,mar,0.17388490767523762,0.324237007945776,0.0780284234619874,0.11422774228524252
HABIBI,pse,0.007076989668208766,0.3302396120599065,0.0030539764619328127,0.014417899717269714
HABIBI,sau,0.10059097650570038,0.3323570632375777,0.03179120484303819,0.1134895097036053
HABIBI,sdn,0.0042434742853235735,0.3369010804541489,0.0017507224224417115,0.1172903968790958
HABIBI,syr,0.045388873734191294,0.40398920660838483,0.026796254708124505,0.05191434744839829
