dataset,dialect_code,prob,dialectness,score,macro_score
Cohere,dza,0.016281217294321818,0.1919403751992216,0.01125521630222263,0.18286370593689594
Cohere,egy,0.020441171486810263,0.1139111877089799,0.0028375544650772826,0.0030180093376179213
Cohere,kwt,0.000378266197977343,0.10276317265298632,0.0001253930944530388,0.007729479883453367
Cohere,mar,0.12470133398480789,0.11464666578956324,0.0937531545664039,0.09748070162686881
Cohere,pse,0.0005737086741848745,0.1078556938604875,0.00019311222411468393,0.001138782260770999
Cohere,sau,0.017793088676460848,0.10410443776183659,0.006231110030404097,0.00758802142812908
Cohere,sdn,0.0012468393780926074,0.09920363090556077,0.00042554857701435365,0.005033403969361569
Cohere,syr,0.002752135351660069,0.12364272317952579,0.0012470408337669286,0.0019255742422245267
Okapi,dza,0.01986200179118896,0.6391590383648872,0.008911915884025996,0.6351490954890672
Okapi,egy,0.011654210758861154,0.6596804833412171,0.009254283884633875,0.009546290819135177
Okapi,kwt,0.0002973633099463768,0.628122975230217,0.0001828503565249257,0.0013381553164077099
Okapi,mar,0.9950644356012345,0.684369719773531,0.6810608085337826,0.682139447989567
Okapi,pse,0.001448087926255539,0.5693283462151885,0.00028718973176105835,0.00135091289829909
Okapi,sau,0.0017037939991132588,0.5314170071482658,0.00015583905684727898,0.00121735810340902
Okapi,sdn,0.0001677590705367038,0.6214453142881393,0.00010403046553642489,0.00036553049118201745
Okapi,syr,0.012440728119981941,0.6448167179524898,0.008836831928340933,0.01974996720504394
ShareGPT,dza,0.020349771846085787,0.5617186342552304,0.013344785507361477,0.559522957440633
ShareGPT,egy,0.0008112767222337425,0.5722327842749655,0.000325038672211523,0.00043017219029076496
ShareGPT,kwt,0.0003904234780929983,0.5331706224440131,0.00014775179310049714,0.0009717184996422029
ShareGPT,mar,0.9867180538922549,0.585001422688365,0.5755541937339771,0.5830277988275
ShareGPT,pse,0.0005146345763932913,0.4959647270105779,0.00012207334919221548,0.0005434061482826229
ShareGPT,sau,0.008675086719886167,0.4749057564465329,0.001954687419844837,0.0027935891545974524
ShareGPT,sdn,0.009312755299761192,0.550548673956655,0.003452103787893706,0.003740447968012676
ShareGPT,syr,0.0013093114062212407,0.5245329072419554,0.0009751278730075565,0.010424700858820269
